
Type: drawable-hdpi
brick_1h_darkblue.9.png 81x66
brick_1h_darkgreen.9.png 83x68
brick_1h_gold.9.png 83x68
brick_1h_white.9.png 83x68
brick_1h_winered.9.png 85x68
brick_1h_yellow.9.png 83x68
brick_2h_darkgreen.9.png 83x109
brick_2h_gold.9.png 83x109
brick_2h_winered.9.png 85x111
brick_2h_yellow.9.png 83x109
brick_3h_gold.9.png 83x143
brick_3h_winered.9.png 85x145
brick_3h_yellow.9.png 83x143
brick_control_gold_1h.9.png 311x95
brick_control_gold_2h.9.png 311x134
brick_white_define_2h.9.png 311x134
ic_color_picker.png 36x36
nolb_argus.png 100x100
nolb_default_myprofile.png 100x100
nolb_fenrir.png 100x100
nolb_odin.png 100x100
nolb_tiro.png 100x100
stage_dialog_background_middle.png 540x188
stage_dialog_background_side.png 188x188

Type: drawable-ldpi
brick_1h_blue.9.png 43x35
brick_1h_cyan.9.png 43x35
brick_1h_darkblue.9.png 43x35
brick_1h_darkgreen.9.png 43x35
brick_1h_gold.9.png 43x35
brick_1h_green.9.png 43x35
brick_1h_olive.9.png 43x35
brick_1h_orange.9.png 43x35
brick_1h_pink.9.png 43x35
brick_1h_red.9.png 43x35
brick_1h_violet.9.png 43x35
brick_1h_white.9.png 43x35
brick_1h_winered.9.png 45x37
brick_1h_yellow.9.png 43x35
brick_2h_blue.9.png 43x55
brick_2h_brown_9.9.png 43x55
brick_2h_cyan.9.png 43x55
brick_2h_darkgreen.9.png 43x55
brick_2h_gold.9.png 43x55
brick_2h_green.9.png 43x55
brick_2h_olive.9.png 43x55
brick_2h_orange.9.png 43x55
brick_2h_pink.9.png 43x55
brick_2h_red.9.png 43x55
brick_2h_violet.9.png 43x55
brick_2h_winered.9.png 45x57
brick_2h_yellow.9.png 43x55
brick_3h_blue.9.png 43x73
brick_3h_cyan.9.png 43x73
brick_3h_gold.9.png 43x73
brick_3h_green.9.png 43x73
brick_3h_olive.9.png 43x73
brick_3h_orange.9.png 43x73
brick_3h_phiro_green.9.png 43x73
brick_3h_pink.9.png 43x73
brick_3h_red.9.png 43x73
brick_3h_violet.9.png 43x73
brick_3h_winered.9.png 45x75
brick_3h_yellow.9.png 43x73
brick_blue_2h_when_9.9.png 156x68
brick_brown_1h_when_9.9.png 156x49
brick_brown_2h_when_9.9.png 156x68
brick_control_1h.9.png 156x49
brick_control_2h.9.png 156x68
brick_control_gold_1h.9.png 156x49
brick_control_gold_2h.9.png 162x68
brick_white_define_2h.9.png 156x68

Type: drawable-mdpi
brick_1h_blue.9.png 56x46
brick_1h_cyan.9.png 56x46
brick_1h_darkblue.9.png 56x46
brick_1h_darkgreen.9.png 56x46
brick_1h_gold.9.png 56x46
brick_1h_green.9.png 56x46
brick_1h_olive.9.png 56x46
brick_1h_orange.9.png 56x46
brick_1h_pink.9.png 56x46
brick_1h_red.9.png 56x46
brick_1h_violet.9.png 56x46
brick_1h_white.9.png 56x46
brick_1h_winered.9.png 58x48
brick_1h_yellow.9.png 56x46
brick_2h_blue.9.png 56x73
brick_2h_brown_9.9.png 56x73
brick_2h_cyan.9.png 56x73
brick_2h_darkgreen.9.png 56x73
brick_2h_gold.9.png 56x73
brick_2h_green.9.png 56x73
brick_2h_olive.9.png 56x73
brick_2h_orange.9.png 56x73
brick_2h_pink.9.png 56x73
brick_2h_red.9.png 56x73
brick_2h_violet.9.png 56x73
brick_2h_winered.9.png 58x75
brick_2h_yellow.9.png 56x73
brick_3h_blue.9.png 56x96
brick_3h_cyan.9.png 56x96
brick_3h_gold.9.png 56x96
brick_3h_green.9.png 56x96
brick_3h_olive.9.png 56x96
brick_3h_orange.9.png 56x96
brick_3h_pink.9.png 56x96
brick_3h_red.9.png 56x96
brick_3h_violet.9.png 56x96
brick_3h_winered.9.png 58x98
brick_3h_yellow.9.png 56x96
brick_blue_2h_when_9.9.png 208x90
brick_brown_1h_when_9.9.png 208x64
brick_brown_2h_when_9.9.png 208x90
brick_control_1h.9.png 208x64
brick_control_2h.9.png 208x90
brick_control_gold_1h.9.png 208x64
brick_control_gold_2h.9.png 208x90
brick_white_define_2h.9.png 208x90
ic_color_picker.png 23x23
nolb_argus.png 66x66
nolb_default_myprofile.png 66x66
nolb_fenrir.png 66x66
nolb_odin.png 66x66
nolb_tiro.png 66x66
stage_dialog_background_middle.png 360x125
stage_dialog_background_side.png 125x125

Type: drawable-nodpi
apple.png 211x237
catrobat.png 480x480
default_project_bird_wing_down.png 300x300
default_project_bird_wing_down_left.png 300x300
default_project_bird_wing_up.png 300x300
default_project_bird_wing_up_left.png 300x300
default_project_clouds_landscape.png 1477x866
default_project_clouds_portrait.png 969x1776
default_project_screenshot.png 1080x1792
default_project_screenshot_landscape.png 1792x1080
elephant.png 480x480
frame.png 1080x2028
gamepad_button_a.png 600x600
gamepad_button_a_pressed.png 600x600
gamepad_button_b.png 600x600
gamepad_button_b_pressed.png 600x600
gamepad_pad_bg.png 1200x1200
gamepad_pad_down.png 354x284
gamepad_pad_left.png 290x357
gamepad_pad_right.png 286x357
gamepad_pad_up.png 354x289
gamepad_pause_button.png 300x300
icon.png 512x512
lynx.png 480x480
lynx_a.png 386x462
panda.png 480x480
panda_a.png 394x580
panda_b.png 385x461
pingu.png 480x480
plotter.png 75x72
racoon.png 480x480
turtle.png 803x475

Type: drawable-xhdpi
brick_1h_blue.9.png 111x90
brick_1h_cyan.9.png 111x90
brick_1h_darkblue.9.png 111x90
brick_1h_darkgreen.9.png 111x90
brick_1h_gold.9.png 111x90
brick_1h_green.9.png 111x90
brick_1h_olive.9.png 111x90
